,Pais,Sexo,Edad,Causa de Muerte,Cantidad
1104,0,1,8,8,0
1105,0,1,8,9,0
1106,0,1,8,10,10
1107,0,1,8,11,7
1108,0,1,8,12,0
1109,0,1,8,13,6451
1110,0,1,8,14,6101
1111,0,1,8,15,75
1112,0,1,8,16,139
1113,0,1,8,17,237
1114,0,1,8,18,917
1115,0,1,8,19,185
1116,0,1,8,20,612
1117,0,1,8,21,499
1118,0,1,8,23,393
1119,0,1,8,24,252
1120,0,1,8,25,199
1121,0,1,8,26,1989
1122,0,1,8,27,1231
1123,0,1,8,28,163
1124,0,1,8,29,555
1125,0,1,8,30,931
1126,0,1,8,31,18506
1127,0,1,8,32,16
